id,author
1006.4046v2,Benjamin Recht
1006.4338v2,Lauren A. Hannah
1006.4338v2,Warren B. Powell
1006.4338v2,David M. Blei
1006.5051v1,Ping Li
1006.5060v2,Gui-Bo Ye
1006.5060v2,Xiaohui Xie
1006.5831v3,Eric B. Laber
1006.5831v3,Min Qian
1006.5831v3,Dan J. Lizotte
1006.5831v3,William E. Pelham
1006.5831v3,Susan A. Murphy
1007.0499v1,Ali Shojaie
1007.0499v1,George Michailidis
1007.0549v3,Christopher Genovese
1007.0549v3,Marco Perone-Pacifico
1007.0549v3,Isabella Verdinelli
1007.0549v3,Larry Wasserman
1007.0563v2,Divyanshu Vats
1007.0563v2,Jose M. F. Moura
1007.0832v1,François Bavaud
1007.1075v1,Ulrike von Luxburg
1007.1684v3,Karl Rohe
1007.1684v3,Sourav Chatterjee
1007.1684v3,Bin Yu
1007.2450v1,Sergey M. Plis
1007.2450v1,Terran Lane
1007.2450v1,Vince D. Calhoun
1007.2964v1,Terrence M. Adams
1007.2964v1,Andrew B. Nobel
1007.3098v3,Yiyuan She
1007.3564v3,Tianyi Zhou
1007.3564v3,Dacheng Tao
1007.3564v3,Xindong Wu
1007.3622v4,Jüri Lember
1007.3622v4,Alexey A. Koloydenko
1007.3884v2,Cassio P. de Campos
1007.4037v1,Terrence M. Adams
1007.4037v1,Andrew B. Nobel
1007.4062v1,Andreas Christmann
1007.4062v1,Robert Hable
1007.4134v1,Svebor Karaman
1007.4134v1,Jenny Benois-Pineau
1007.4134v1,Rémi Mégret
1007.4134v1,Vladislavs Dovgalecs
1007.4134v1,Jean-François Dartigues
1007.4134v1,Yann Gaëstel
1007.5354v1,James P. Crutchfield
1007.5354v1,Christopher J. Ellison
1007.5354v1,Ryan G. James
1007.5354v1,John R. Mahoney
1008.0204v4,Guido Montufar
1008.0706v1,Allen Lavoie
1008.0706v1,Mukkai Krishnamoorthy
1008.2028v1,Suchi Saria
1008.2028v1,Daphne Koller
1008.2028v1,Anna Penn
1008.2277v1,Jose M. Peña
1008.2514v1,Gert de Cooman
1008.2514v1,Filip Hermans
1008.2514v1,Alessandro Antonucci
1008.2514v1,Marco Zaffalon
1008.2743v1,Gautam V. Pendse
1008.2908v1,Giuseppe Jurman
1008.2908v1,Cesare Furlanello
1008.3043v2,Massimo Fornasier
1008.3043v2,Karin Schnass
1008.3043v2,Jan Vybiral
1008.3572v1,Paul Bendich
1008.3572v1,Sayan Mukherjee
1008.3572v1,Bei Wang
1008.3585v1,Fionn Murtagh
1008.3951v3,Jiheng Wang
1008.3951v3,Guangzhe Fan
1008.3951v3,Zhou Wang
1008.3952v1,Fang Yang
1008.3952v1,Jiheng Wang
1008.3952v1,Guangzhe Fan
1008.4000v1,Tianyi Zhou
1008.4000v1,Dacheng Tao
1008.4000v1,Xindong Wu
1008.4182v3,Nicholas F. Travers
1008.4182v3,James P. Crutchfield
1008.4220v3,Francis Bach
1008.4973v1,N. K. Malakar
1008.4973v1,K. H. Knuth
1008.4988v1,Heng Luo
1008.4988v1,Ruimin Shen
1008.4988v1,Cahngyong Niu
1008.5071v4,Gaël Varoquaux
1008.5071v4,Alexandre Gramfort
1008.5071v4,Jean Baptiste Poline
1008.5071v4,Bertrand Thirion
1008.5090v1,Francesco Dinuzzo
1008.5209v1,Julien Mairal
1008.5209v1,Rodolphe Jenatton
1008.5209v1,Guillaume Obozinski
1008.5209v1,Francis Bach
1008.5211v1,Mladen Kolar
1008.5211v1,John Lafferty
1008.5211v1,Larry Wasserman
1008.5386v1,Ricardo Silva
1008.5386v1,Charles Blundell
1008.5386v1,Yee Whye Teh
1009.0499v1,Yevgeny Seldin
1009.0530v2,Shuheng Zhou
1009.0530v2,Philipp Rutimann
1009.0530v2,Min Xu
1009.0530v2,Peter Buhlmann
