"title","author","genre","rating","img","numRater","type","price"
"The Undoing Project","Michael Lewis","Science & Math","4.2","https://images-na.ssl-images-amazon.com/images/I/71eVtcZlPPL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1389","Kindle Edition","9.61"
"The Uninhabitable Earth","David Wallace-Wells","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71IZCCbZvyL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","25","Kindle Edition","13.99"
"Consciousness Beyond Life","Pim van Lommel","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/41jtrAtXcFL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","178","Kindle Edition","1.99"
"The Worst Hard Time","Timothy Egan","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81ABZkfT-OL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1743","Kindle Edition","9.99"
"Feeding You Lies","Vani Hari","Science & Math","4.9","https://images-na.ssl-images-amazon.com/images/I/71jr3V089BL._AC_UL200_SR200,200_.jpg","146","Hardcover","16.79"
"If I Understood You, Would I Have This Look on My Face?","Alan Alda","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/917lmH8qxQL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","210","Kindle Edition","9.99"
"Sapiens","Yuval Noah Harari","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71ZR6hn%2BGbL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","5630","Kindle Edition","14.99"
"The Plant Paradox Quick and Easy","Dr. Steven R Gundry M.D.","Science & Math","4.1","https://images-na.ssl-images-amazon.com/images/I/71BJlfO2ZqL._AC_UL200_SR200,200_.jpg","40","Paperback","12.78"
"Digital Minimalism","Cal Newport","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/919gg66Nx-L._AC_UL200_SR200,200_.jpg","63","Audible Audiobook"," Free with Audible trial"
"Misbehaving","Richard H. Thaler","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/81%2BN1JnGx9L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","410","Kindle Edition","10.61"
"Maps of Meaning","Jordan B. Peterson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/418Y5bVp9CL._AC_UL200_SR200,200_.jpg","192","Paperback","29.99"
"Thinking, Fast and Slow","Daniel Kahneman","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/51oXKWrcYYL._AC_UL200_SR200,200_.jpg","3080","Paperback","9.49"
